query,precision,recall,f1,ap,retrieved_count,relevant_count
wisata pantai Bali,1.0,0.009532888465204958,0.018885741265344664,0.009532888465204958,20,2098
hotel murah Jakarta,1.0,0.00945179584120983,0.018726591760299623,0.00945179584120983,20,2116
gunung Bromo sunrise,1.0,0.0749063670411985,0.1393728222996516,0.0749063670411985,20,267
kuliner Yogyakarta,1.0,0.017809439002671415,0.034995625546806644,0.017809439002671415,20,1123
tempat wisata Bandung,1.0,0.005288207297726071,0.010520778537611783,0.005288207297726071,20,3782
diving Bunaken,1.0,0.08928571428571429,0.1639344262295082,0.08928571428571429,20,224
candi Borobudur,1.0,0.07633587786259542,0.14184397163120568,0.07633587786259542,20,262
taman nasional komodo,1.0,0.0711743772241993,0.132890365448505,0.0711743772241993,20,281
danau Toba,1.0,0.06269592476489028,0.11799410029498525,0.06269592476489028,20,319
rafting Sungai Ayung,1.0,0.11235955056179775,0.20202020202020202,0.11235955056179775,20,178
