doc_id,url,title,image_url,doc_len
0,https://travel.kompas.com/read/2025/11/11/190000827/unik-kamar-hotel-bertema-kereta-api-di-jepang-ada-kabin-masinis-asli,"Unik! Kamar Hotel Bertema Kereta Api di Jepang, Ada Kabin Masinis Asli","https://asset.kompas.com/crops/JuPS-Vztad3QSrz3PpM6dU-GHwk=/0x53:640x480/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/11/691310473e17d.jpg",485
1,https://travel.kompas.com/read/2025/11/11/192512827/4-rekomendasi-wisata-di-banyuwangi-cocok-untuk-libur-akhir-tahun,"4 Rekomendasi Wisata di Banyuwangi, Cocok untuk Libur Akhir Tahun","https://asset.kompas.com/crops/Hr7wxPhSL05v6bJh1b4S5PPuTkM=/0x0:2418x1612/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/05/19/682ac6281a513.jpg",282
2,https://travel.kompas.com/read/2025/05/03/133300627/itinerary-seharian-di-bromo-jawa-timur-dari-sunrise-hingga-sunset,"Itinerary Seharian di Bromo Jawa Timur, dari Sunrise hingga Sunset","https://asset.kompas.com/crops/qhmg-Fo7Ovc_UK5s-qI5QCZh6xc=/242x0:1106x576/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2024/12/27/676ea78c083a5.jpg",462
3,https://travel.kompas.com/read/2025/11/10/185106527/promo-hari-pahlawan-2025-tmii-beri-diskon-30-persen-hingga-beli-1-gratis-1,"Promo Hari Pahlawan 2025, TMII Beri Diskon 30 Persen hingga Beli 1 Gratis 1, Apa Syaratnya?","https://asset.kompas.com/crops/BUAROBnD6-vJIc2wlPEpKn-J6Mc=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/09/06/68bbe70be7e4d.jpg",361
4,https://travel.kompas.com/read/2025/11/11/180600627/gratis-tiket-wisata-trenggalek-bagi-penumpang-yang-turun-di-bandara-dhoho,Gratis Tiket Wisata Trenggalek bagi Penumpang yang Turun di Bandara Dhoho Kediri,"https://asset.kompas.com/crops/Gk32GQ2e88dxyhlG_azJHuSGqwQ=/70x0:915x563/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2024/04/08/6613f4ab9d880.jpg",305
5,https://travel.kompas.com/read/2025/11/17/190700627/transportasi-makin-canggih-kenapa-orang-masih-pilih-naik-bus-,"Transportasi Makin Canggih, Kenapa Orang Masih Pilih Naik Bus?","https://asset.kompas.com/crops/UAQ_HYllzANw6g7mpFADhlKK0yc=/0x41:960x681/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2024/10/21/67158b26209d7.jpg",271
6,https://travel.kompas.com/read/2025/11/17/170500927/resmikan-hotel-baru-pramono-sebut-artotel-group-agresif-di-jakarta,"Resmikan Hotel Baru, Pramono Sebut Artotel Group Agresif di Jakarta","https://asset.kompas.com/crops/nM3k9kQO28bRKgsnZ7wRsxU9EQw=/0x300:4032x2988/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/16/6919a40c093bc.jpg",369
7,https://travel.kompas.com/read/2025/11/16/140321827/126-turis-selandia-baru-mendarat-di-yogyakarta-ada-agenda-apa,"126 Turis Selandia Baru Mendarat di Yogyakarta, Ada Agenda Apa?","https://asset.kompas.com/crops/LBQMoHygDsO105rle4ssNWDR1p8=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/16/6919406b2b681.jpg",429
8,https://travel.kompas.com/read/2025/11/17/060600327/jakarta-bakal-punya-jogging-track-1-2-km-lebih-luas-dibanding-gbk,"Jakarta Bakal Punya Jogging Track 1,2 Km, Lebih Luas Dibanding GBK","https://asset.kompas.com/crops/Smmtqh4zYSsPhOK33o5HavfHGrk=/0x26:1600x1093/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2023/02/20/63f30e1728925.jpeg",235
9,https://travel.kompas.com/read/2025/11/15/200643827/benteng-pendem-ambarawa-grand-opening-17-november-2025-tiket-masih-gratis,"Benteng Pendem Ambarawa Grand Opening 17 November 2025, Tiket Masih Gratis","https://asset.kompas.com/crops/sIYHZi4koK6FEBXLBCTJ59AQOPc=/0x0:2560x1707/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/15/69187970106ab.jpg",254
10,https://travel.kompas.com/read/2025/11/17/080800327/pertama-kali-liburan-ke-korea-selatan-butuh-bujet-berapa-,"Pertama Kali Liburan ke Korea Selatan, Butuh Bujet Berapa?","https://asset.kompas.com/crops/8PJvRskp3dLRf72M8dXlm38KLKo=/10x0:1000x660/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2021/09/17/614416e988474.jpg",324
11,https://travel.kompas.com/read/2025/11/15/172849227/benteng-pendem-ambarawa-setelah-revitalisasi-indah-dan-bikin-pangling,"Benteng Pendem Ambarawa Setelah Revitalisasi, Indah dan Bikin Pangling","https://asset.kompas.com/crops/65lFftwkt24pt8jH9U1DBoKx1ek=/0x213:2560x1920/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/15/691851728ad33.jpg",259
12,https://travel.kompas.com/read/2025/11/17/150300927/mau-liburan-ke-korea-selatan-ini-syarat-lengkap-untuk-urus-single-visa-turis,Mau Liburan ke Korea Selatan? Ini Syarat Lengkap untuk Urus Single Visa Turis,"https://asset.kompas.com/crops/uqr6s8cxZ5-MkHPbT5GMlc5tTzI=/103x0:694x394/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2019/09/14/5d7cc72e9278f.jpg",136
13,https://travel.kompas.com/read/2025/11/17/143808127/jelajahi-petualangan-raga-dan-rasa-di-balik-kemegahan-borobudur,Jelajahi Petualangan Raga dan Rasa di Balik Kemegahan Borobudur,"https://asset.kompas.com/crops/AGZeKzWvwAbSfJMGBwKK2JiFEDQ=/200x0:5870x3780/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/17/691ac8472636e.jpg",372
14,https://travel.kompas.com/read/2025/11/17/123100327/pemesanan-tiket-bus-secara-online-di-indonesia-baru-capai-50-persen-,Pemesanan Tiket Bus Secara Online di Indonesia Baru Capai 50 Persen,"https://asset.kompas.com/crops/406klYCz5-qkwPLy7VO7WGef5po=/0x90:1080x810/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2024/06/09/66650233d8f5b.jpeg",357
15,https://travel.kompas.com/read/2025/11/17/120100027/73-kapal-pesiar-mewah-akan-singgah-di-pelabuhan-benoa-pada-2026,73 Kapal Pesiar Mewah Akan Singgah di pelabuhan Benoa pada 2026,"https://asset.kompas.com/crops/6FCZa0JWpShGASvVSyN69aKt9L8=/0x0:1280x853/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2023/10/30/653f480f01554.jpg",265
16,https://travel.kompas.com/read/2025/11/17/090900127/mau-urus-visa-ke-korea-selatan-segini-biayanya,Mau Urus Visa ke Korea Selatan? Segini Biayanya,"https://asset.kompas.com/crops/cjyOH05__3dboJFzCJ-4CcIyKLE=/0x0:977x651/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2021/09/17/6144163584df2.jpg",140
17,https://travel.kompas.com/read/2025/11/04/070700427/betulkah-jalur-kereta-purwokerto-wonosobo-akan-direaktivasi-,Betulkah Jalur Kereta Purwokerto - Wonosobo Akan Direaktivasi?,"https://asset.kompas.com/crops/wkssojvZUGjNbE6ujbG92od2aSc=/60x227:1084x910/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/01/20/678decfd6e9d0.jpg",409
18,https://travel.kompas.com/read/2025/10/16/211806927/7-tahun-berturut-turut-bali-jadi-destinasi-paling-romantis-di-asia-2025,"7 Tahun Berturut-turut, Bali Jadi Destinasi Paling Romantis di Asia 2025","https://asset.kompas.com/crops/1FyIur8HbO0fFadBFW_zFm36Qzo=/0x108:1312x983/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/10/10/68e89d3c843e7.jpg",346
19,https://travel.kompas.com/read/2025/10/10/120100927/kunjungan-wisman-januari-agustus-2025-tembus-10-juta-tertinggi-sejak-pandemi,"Kunjungan Wisman Januari–Agustus 2025 Tembus 10 Juta, Tertinggi Sejak Pandemi","https://asset.kompas.com/crops/LlBRHDLmLv6M9VQdbYK6_ATKqQA=/0x0:1279x853/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2024/12/31/677403f9ee56f.jpeg",343
20,https://travel.kompas.com/read/2025/11/03/175254527/saat-bromo-tak-sekadar-menawarkan-pemandangan-tapi-juga-cerita-hidup,"Saat Bromo Tak Sekadar Menawarkan Pemandangan, tapi Juga Cerita Hidup","https://asset.kompas.com/crops/24vsTVJebob8Z1CRqfgt8XKTMXs=/0x0:1200x800/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2025/11/03/690882cce992c.jpg",766
