query,precision,recall,f1,ap,retrieved_count,relevant_count
wisata pantai Bali,1.0,0.009532888465204958,0.018885741265344664,0.009532888465204958,20,2098
hotel murah Jakarta,1.0,0.00945179584120983,0.018726591760299623,0.00945179584120983,20,2116
gunung Bromo sunrise,0.95,0.07116104868913857,0.13240418118466898,0.07034827466698618,20,267
kuliner Yogyakarta,1.0,0.017809439002671415,0.034995625546806644,0.017809439002671415,20,1123
tempat wisata Bandung,1.0,0.005288207297726071,0.010520778537611783,0.005288207297726071,20,3782
diving Bunaken,1.0,0.08928571428571429,0.1639344262295082,0.08928571428571429,20,224
candi Borobudur,1.0,0.07633587786259542,0.14184397163120568,0.07633587786259542,20,262
taman nasional komodo,0.55,0.03914590747330961,0.07308970099667773,0.025436465288607678,20,281
danau Toba,1.0,0.06269592476489028,0.11799410029498525,0.06269592476489028,20,319
rafting Sungai Ayung,0.5,0.056179775280898875,0.10101010101010101,0.0358453032610336,20,178
