doc_id,url,title,doc_len
0,https://travel.kompas.com/read/2025/11/11/190000827/unik-kamar-hotel-bertema-kereta-api-di-jepang-ada-kabin-masinis-asli,"Unik! Kamar Hotel Bertema Kereta Api di Jepang, Ada Kabin Masinis Asli",581
1,https://travel.kompas.com/read/2025/11/11/192512827/4-rekomendasi-wisata-di-banyuwangi-cocok-untuk-libur-akhir-tahun,"4 Rekomendasi Wisata di Banyuwangi, Cocok untuk Libur Akhir Tahun",356
2,https://travel.kompas.com/read/2025/05/03/133300627/itinerary-seharian-di-bromo-jawa-timur-dari-sunrise-hingga-sunset,"Itinerary Seharian di Bromo Jawa Timur, dari Sunrise hingga Sunset",535
3,https://travel.kompas.com/read/2025/11/10/185106527/promo-hari-pahlawan-2025-tmii-beri-diskon-30-persen-hingga-beli-1-gratis-1,"Promo Hari Pahlawan 2025, TMII Beri Diskon 30 Persen hingga Beli 1 Gratis 1, Apa Syaratnya?",486
4,https://travel.kompas.com/read/2025/11/11/180600627/gratis-tiket-wisata-trenggalek-bagi-penumpang-yang-turun-di-bandara-dhoho,Gratis Tiket Wisata Trenggalek bagi Penumpang yang Turun di Bandara Dhoho Kediri,375
5,https://travel.kompas.com/read/2025/11/17/190700627/transportasi-makin-canggih-kenapa-orang-masih-pilih-naik-bus-,"Transportasi Makin Canggih, Kenapa Orang Masih Pilih Naik Bus?",320
6,https://travel.kompas.com/read/2025/11/17/170500927/resmikan-hotel-baru-pramono-sebut-artotel-group-agresif-di-jakarta,"Resmikan Hotel Baru, Pramono Sebut Artotel Group Agresif di Jakarta",485
7,https://travel.kompas.com/read/2025/11/16/140321827/126-turis-selandia-baru-mendarat-di-yogyakarta-ada-agenda-apa,"126 Turis Selandia Baru Mendarat di Yogyakarta, Ada Agenda Apa?",538
8,https://travel.kompas.com/read/2025/11/17/060600327/jakarta-bakal-punya-jogging-track-1-2-km-lebih-luas-dibanding-gbk,"Jakarta Bakal Punya Jogging Track 1,2 Km, Lebih Luas Dibanding GBK",322
9,https://travel.kompas.com/read/2025/11/15/200643827/benteng-pendem-ambarawa-grand-opening-17-november-2025-tiket-masih-gratis,"Benteng Pendem Ambarawa Grand Opening 17 November 2025, Tiket Masih Gratis",336
10,https://travel.kompas.com/read/2025/11/17/080800327/pertama-kali-liburan-ke-korea-selatan-butuh-bujet-berapa-,"Pertama Kali Liburan ke Korea Selatan, Butuh Bujet Berapa?",407
11,https://travel.kompas.com/read/2025/11/15/172849227/benteng-pendem-ambarawa-setelah-revitalisasi-indah-dan-bikin-pangling,"Benteng Pendem Ambarawa Setelah Revitalisasi, Indah dan Bikin Pangling",345
12,https://travel.kompas.com/read/2025/11/17/150300927/mau-liburan-ke-korea-selatan-ini-syarat-lengkap-untuk-urus-single-visa-turis,Mau Liburan ke Korea Selatan? Ini Syarat Lengkap untuk Urus Single Visa Turis,239
13,https://travel.kompas.com/read/2025/11/17/143808127/jelajahi-petualangan-raga-dan-rasa-di-balik-kemegahan-borobudur,Jelajahi Petualangan Raga dan Rasa di Balik Kemegahan Borobudur,441
